source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
bars,https://bars.am/en/properties/standard/apartment/4-3-1380,4-3-1380,600000,"['Heating system', 'Closed balcony']",Yerevan/Arabkir/Hakobyan Street,174.0,3,1,4,Stone,Major overhaul,,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/2-3-59,2-3-59,300000,['Terrace'],Yerevan/Big Center/Bryusov Street,80.0,3,1,3,Stalinka w/o,Major overhaul,3.1,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-417,1-N-417,750000,"['Elevator', 'Heating system', 'Open balcony']",Yerevan/Small Center/Pushkin Street,185.0,5,5,9,New building,Major overhaul,3.0,2,4,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-A-84,1-A-84,380000,"['Elevator', 'Heating system', 'Air conditioning', 'Open balcony', 'Furniture']",Yerevan/Small Center/Verin Antarain Street,190.0,4,3,8,New building,Major overhaul,3.0,3,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-2-977,1-2-977,210000,"['Heating system', 'Open balcony']",Yerevan/Small Center/Zakyan Street,66.7,2,3,4,Stalinka c/o,Major overhaul,3.8,1,1,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-2-192,4-2-192,190000,"['Elevator', 'Heating system', 'Open balcony', 'Washing machine', 'Dishwasher', 'Kitchen stove', 'Fridge', 'TV', 'Furniture', 'Kitchen furniture']",Yerevan/Arabkir/V.Davtyan street,56.4,2,5,8,New building,Major overhaul,3.0,1,1,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/6-D3-195,6-D3-195,160000,"['Elevator', 'Heating system']",Yerevan/Davtashen/Tigran Petrosyan Street,68.0,3,5,5,New building,Major overhaul,3.0,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/6-NN-4,6-NN-4,165000,"['Elevator', 'Heating system', 'Open balcony']",Yerevan/Nor Nork/Nelson Stepanyan street,120.0,3,5,7,New building,Major overhaul,3.0,2,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1378,4-3-1378,109000,"['Heating system', 'Air conditioning', 'Closed balcony']",Yerevan/Arabkir/Azatutyan Avenue,75.0,3,1,4,Stalinka c/o,Major overhaul,3.2,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-S-51,1-S-51,1500000,"['Building service', 'Parking', 'Elevator', 'Heating system', 'Cooling system', 'Open balcony', 'Furniture']",Yerevan/Small Center/Northern Avenue,256.0,5,4,9,New building,Major overhaul,3.0,3,4,,,,,,,,,,,,,,,,,
