source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,coordinates
bnakaran,d116408,310000.0,87.0,3.0,3.0,5.0,Stone,Needs Renovation/Repair,2.0,0,0,0,0,0,1,0,0,44.518568507932,40.186000349479,"(40.186000349479, 44.518568507932)"
bnakaran,d116409,200000.0,98.0,3.0,5.0,5.0,Stone,Good Condition,1.0,0,0,0,0,0,1,0,0,44.527029134918,40.175793145482,"(40.175793145482, 44.527029134918)"
bnakaran,d116625,205000.0,100.0,3.0,3.0,18.0,Monolit,New/Excellent Condition,1.0,1,0,0,0,0,1,1,0,44.476409086676,40.186173862207,"(40.186173862207, 44.476409086676)"
bnakaran,d116654,340000.0,86.0,3.0,4.0,4.0,Stone,Good Condition,1.0,0,0,0,0,0,0,0,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d101916,420000.0,121.0,4.0,4.0,4.0,Stone,Good Condition,2.0,0,0,0,0,0,0,0,0,44.517836812161,40.184915486356,"(40.184915486356, 44.517836812161)"
bnakaran,d115715,280000.0,138.0,3.0,2.0,4.0,Stone,Good Condition,1.0,0,0,0,0,0,0,0,0,44.512929609785,40.167540104491,"(40.167540104491, 44.512929609785)"
bnakaran,d92432,134000.0,34.0,2.0,2.0,5.0,Stone,New/Excellent Condition,1.0,0,0,0,0,0,0,0,0,44.505100250244,40.184101104736,"(40.184101104736, 44.505100250244)"
bnakaran,d98280,310000.0,65.0,2.0,3.0,16.0,Monolit,Good Condition,1.0,1,0,0,1,0,1,0,0,44.511407998317,40.179874253347,"(40.179874253347, 44.511407998317)"
bnakaran,d103049,445000.0,106.0,4.0,13.0,16.0,Monolit,Needs Renovation/Repair,2.0,1,0,0,0,0,1,1,0,44.506465,40.183092,"(40.183092, 44.506465)"
bnakaran,d103128,225000.0,58.0,2.0,13.0,16.0,Monolit,Needs Renovation/Repair,1.0,1,0,0,0,0,1,1,0,44.512234037047,40.18189789531,"(40.18189789531, 44.512234037047)"
bnakaran,d107492,235000.0,52.0,2.0,9.0,17.0,Monolit,Good Condition,1.0,1,0,0,1,0,0,0,0,44.511424,40.179957,"(40.179957, 44.511424)"
bnakaran,d111422,135000.0,52.0,2.0,5.0,10.0,Monolit,Good Condition,1.0,0,0,0,0,0,0,0,0,44.51999688626,40.17249431713,"(40.17249431713, 44.51999688626)"
bnakaran,d112500,215000.0,40.0,2.0,4.0,16.0,Monolit,Good Condition,1.0,1,0,0,0,0,1,0,0,44.516290817473,40.178009492784,"(40.178009492784, 44.516290817473)"
bnakaran,d112638,204000.0,55.0,1.0,9.0,10.0,Monolit,Good Condition,1.0,1,0,0,0,0,0,0,0,44.515679769865,40.180503390604,"(40.180503390604, 44.515679769865)"
bnakaran,d114328,178000.0,54.0,2.0,6.0,14.0,Monolit,New/Excellent Condition,1.0,1,0,0,0,0,1,1,0,44.510236350161,40.174563528343,"(40.174563528343, 44.510236350161)"
bnakaran,d115250,117000.0,74.0,3.0,12.0,18.0,Monolit,Needs Renovation/Repair,1.0,1,0,0,0,0,1,1,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d117512,101000.0,53.0,2.0,4.0,4.0,Stone,Good Condition,2.0,0,0,0,0,0,1,0,0,44.521740993423,40.2093437765,"(40.2093437765, 44.521740993423)"
bnakaran,d94155,155000.0,77.0,3.0,5.0,12.0,Panel,New/Excellent Condition,3.0,0,0,0,0,0,0,0,0,44.489779172496,40.201970921488,"(40.201970921488, 44.489779172496)"
