,source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
1692,bnakaran,d116209,300000.0,90.0,3.0,2.0,5.0,2.0,0,0,0,0,0,1,0,0,44.502601697035,40.177126250799,1448,9104,4252,2358,3854,9,9,6,1,2,0,1,0,0,0,0,1,0,0,1,0
1696,bnakaran,d116787,370000.0,98.0,3.0,8.0,10.0,2.0,1,0,0,0,0,0,0,0,44.507619367072,40.185687524856,635,9829,4702,1741,4896,4,6,6,4,2,1,2,2,1,0,0,0,0,0,1,0
1699,bnakaran,d115192,575000.0,136.0,3.0,5.0,15.0,3.0,1,0,0,0,0,1,0,0,44.504471,40.180626,1082,9379,4422,2058,4274,9,17,6,2,1,1,1,1,1,0,0,0,0,1,0,0
1701,bnakaran,d117848,315000.0,130.0,3.0,3.0,7.0,2.0,1,0,0,0,0,0,0,0,44.502533835998,40.190984553931,1201,9677,5432,1018,5315,4,6,2,0,0,0,0,0,1,0,0,0,1,0,0,0
1705,bnakaran,d117058,89000.0,67.0,3.0,3.0,9.0,1.0,0,0,0,0,0,1,0,0,44.582537931213,40.216722730136,6669,17042,8214,7842,11455,9,15,2,0,0,0,0,0,0,0,1,0,1,0,0,0
1708,bnakaran,d110062,220000.0,97.0,3.0,7.0,12.0,1.0,0,0,0,0,0,1,0,0,44.50541215344,40.195049344411,1299,10101,5683,1017,5817,1,1,4,0,0,1,0,0,0,1,0,0,1,0,0,0
1712,bnakaran,d117840,86000.0,78.0,2.0,1.0,9.0,1.0,0,0,0,0,0,1,0,0,44.491141850782,40.220668486118,4358,10820,8764,2614,8435,6,4,3,0,0,0,3,0,0,0,1,0,1,0,0,0
1714,bnakaran,d117839,175000.0,103.0,3.0,8.0,12.0,2.0,1,0,0,0,0,1,1,0,44.476120591262,40.208574009569,4153,8968,8349,1958,7126,6,0,2,0,0,1,0,7,1,0,0,0,0,1,0,0
1716,bnakaran,d117838,128000.0,60.0,2.0,3.0,5.0,1.0,0,0,0,0,0,1,1,0,44.50748478308,40.171918477938,1693,9349,3555,3046,3520,3,5,4,0,0,0,0,0,0,0,0,1,1,0,0,0
1717,bnakaran,d117025,490000.0,152.0,4.0,4.0,5.0,3.0,1,0,0,1,0,1,0,0,44.512868982803,40.195345734329,1056,10679,5424,1634,6059,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0
1719,bnakaran,d117837,296000.0,64.0,2.0,5.0,6.0,1.0,0,0,0,0,0,1,1,0,44.517634763229,40.188183425525,325,10722,4532,2262,5517,6,19,2,0,0,5,3,0,0,0,0,1,0,1,0,0
1721,bnakaran,d113466,355000.0,150.0,3.0,2.0,4.0,2.0,0,0,0,0,0,0,0,0,44.5127632612,40.186020660006,197,10249,4502,2038,5110,6,28,5,4,2,1,2,1,0,0,0,1,0,0,1,0
1725,bnakaran,d117024,560000.0,118.0,3.0,7.0,15.0,2.0,1,0,0,1,0,1,0,0,44.513894585051,40.181538442319,506,10169,4024,2442,4718,7,26,10,3,0,1,2,3,1,0,0,0,1,0,0,0
1726,bnakaran,d105465,250000.0,180.0,6.0,3.0,3.0,2.0,0,0,0,0,0,0,0,0,44.493868130935,40.201918286537,2526,9662,6851,520,6374,6,10,1,1,0,1,2,0,0,1,0,0,1,0,0,0
1730,bnakaran,d92859,175000.0,101.0,4.0,8.0,9.0,1.0,0,0,0,0,0,0,0,0,44.501027845464,40.200785863908,2032,10100,6422,731,6344,14,11,1,1,0,0,1,1,1,0,0,0,1,0,0,0
1733,bnakaran,d111114,289000.0,105.0,3.0,14.0,15.0,2.0,1,0,0,0,0,0,0,0,44.500154474869,40.192135038852,1440,9555,5653,784,5389,3,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0
1735,bnakaran,d115933,260000.0,130.0,4.0,12.0,16.0,3.0,1,0,0,0,0,1,1,0,44.535419984131,40.203858452985,2631,12816,5907,3612,7790,5,1,3,0,1,0,0,8,1,0,0,0,0,1,0,0
1736,bnakaran,d102768,116250.0,118.0,3.0,3.0,3.0,1.0,0,0,0,0,0,1,0,0,44.521033985458,40.141758684558,4945,10311,1821,6589,3011,5,8,0,0,0,0,0,2,1,0,0,0,1,0,0,0
1737,bnakaran,d113668,220000.0,200.0,4.0,10.0,11.0,2.0,0,0,0,0,0,1,0,0,44.495296225436,40.194239259954,1914,9306,6087,357,5542,4,6,1,2,0,0,0,2,0,0,1,0,1,0,0,0
1738,bnakaran,d116202,408000.0,170.0,4.0,15.0,18.0,2.0,1,0,0,0,0,1,1,0,44.499404,40.203484,2356,10148,6751,842,6613,16,11,0,2,0,0,1,1,1,0,0,0,0,1,0,0
1739,bnakaran,d92366,400000.0,130.0,3.0,5.0,6.0,1.0,1,0,0,1,0,0,0,0,44.51670775032,40.200145683478,1578,11215,5801,1973,6677,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1740,bnakaran,d110548,400000.0,93.0,3.0,4.0,4.0,1.0,0,0,0,0,0,1,0,0,44.517597037047,40.188902957769,386,10749,4607,2225,5585,7,19,1,0,0,4,3,0,0,0,0,1,1,0,0,0
1741,bnakaran,d115466,132500.0,74.0,3.0,9.0,18.0,1.0,1,0,0,0,0,1,1,0,44.499546910033,40.219634961509,3966,11262,8352,2537,8389,1,1,3,1,0,0,1,0,1,0,0,0,0,1,0,0
1742,bnakaran,d117830,205000.0,64.0,3.0,8.0,17.0,1.0,1,0,0,0,0,1,0,0,44.508454544982,40.206452880844,2343,10971,6707,1613,7106,2,4,6,0,0,1,2,1,1,0,0,0,1,0,0,0
1743,bnakaran,d117827,130000.0,54.0,2.0,1.0,9.0,1.0,0,0,0,0,0,0,1,0,44.515242661377,40.166026617565,2220,9869,2628,3920,3427,9,4,4,0,1,0,2,2,0,0,1,0,1,0,0,0
1744,bnakaran,d117826,145000.0,45.0,2.0,1.0,5.0,1.0,0,0,0,0,0,0,1,0,44.517501831055,40.179401397705,761,10388,3663,2827,4683,9,18,7,0,0,0,1,0,0,0,0,1,1,0,0,0
1745,bnakaran,d117598,520000.0,156.0,4.0,9.0,17.0,2.0,1,0,0,1,0,0,0,0,44.522029968261,40.181842961416,749,10836,3737,2947,5129,6,13,10,0,2,4,1,0,1,0,0,0,1,0,0,0
1746,bnakaran,d116748,229000.0,90.0,3.0,3.0,18.0,1.0,1,0,0,0,0,1,0,0,44.48867516,40.21486191,3915,10222,8303,2006,7781,1,4,2,1,1,0,1,0,1,0,0,0,0,1,0,0
