,source,webpage,success,error,skipped
205,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/A.+Khachatrian+St/Arabkir/Yerevan/142291,True,,
206,bars,https://bars.am/en/properties/standard/apartment/1-DH-20,True,,
207,myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Saryan+St/Center/Yerevan/142290,True,,
208,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Leo+St/Center/Yerevan/142288,True,,
209,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Raffi+St/Malatia-Sebastia/Yerevan/142279,True,,
210,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Rostom+St/Center/Yerevan/142274,True,,
211,bars,https://bars.am/en/properties/standard/apartment/1-DH-25,True,,
212,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Mikoyan+St/Davtashen/Yerevan/142272,True,,
213,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Vardanants+St/Center/Yerevan/142267,True,,
214,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Davit+Anhaxt+St/Qanaqer-Zeytun/Yerevan/142262,True,,
215,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Adonts+St/Arabkir/Yerevan/142260,True,,
216,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Mikoyan+St/Davtashen/Yerevan/142259,True,,
217,bars,https://bars.am/en/properties/standard/apartment/1-DH-8,True,,
218,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Leningradyan+St/Achapnyak/Yerevan/142258,True,,
219,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Tsitsernakaberd+Highway/Center/Yerevan/142238,True,,
220,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-downtown-yerevan-d117910,True,'DataFrame' object is not callable,True
221,myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/N.+Tigranyan+St/Arabkir/Yerevan/142209,True,,
222,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-downtown-yerevan-d89523,True,'DataFrame' object is not callable,True
223,bars,https://bars.am/en/properties/standard/apartment/1-DH-27,True,,
224,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Davtashen+4+St/Davtashen/Yerevan/142204,True,,
225,bars,https://bars.am/en/properties/standard/apartment/1-DH-15,True,,
226,bars,https://bars.am/en/properties/standard/apartment/1-DH-22,True,,
227,bnakaran,https://www.bnakaran.com/en/duplex-for-sale-in-arabkir-yerevan-d117900,True,'DataFrame' object is not callable,True
228,bars,https://bars.am/en/properties/standard/apartment/1-N-43,True,,
229,bars,https://bars.am/en/properties/standard/apartment/4-3-1382,True,,
230,bars,https://bars.am/en/properties/standard/apartment/4-3-1419,True,,
231,bars,https://bars.am/en/properties/standard/apartment/1-3-2627,True,,
232,bars,https://bars.am/en/properties/standard/apartment/4-3-1418,True,,
233,bars,https://bars.am/en/properties/standard/apartment/1-3-2003,True,,
234,bars,https://bars.am/en/properties/standard/apartment/6-Ach3-124,True,,
235,bars,https://bars.am/en/properties/standard/apartment/1-3-2097,True,,
236,bars,https://bars.am/en/properties/standard/apartment/1-A-122,True,,
237,bars,https://bars.am/en/properties/standard/apartment/4-3-1416,True,,
238,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Buzand+St/Center/Yerevan/142198,True,,
239,myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Abovyan+St/Center/Yerevan/142189,True,,
240,bars,https://bars.am/en/properties/standard/apartment/1-N-415,True,,
241,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Saryan+St/Center/Yerevan/142163,True,,
242,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Tigran+Petrosyan+St/Davtashen/Yerevan/142160,True,,
243,bars,https://bars.am/en/properties/standard/apartment/1-3-2084,True,,
244,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Tumanyan+St/Center/Yerevan/142137,True,,
245,bars,https://bars.am/en/properties/standard/apartment/4-3-1415,True,,
246,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Mashtots+Ave/Center/Yerevan/142134,True,,
247,bnakaran,https://www.bnakaran.com/en/apartment-for-rent-in-downtown-yerevan-d47265,True,,
248,bars,https://bars.am/en/properties/standard/apartment/1-3-2114,True,,
249,myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Mashtots+Ave/Center/Yerevan/142133,True,,
250,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-rent-in-downtown-yerevan-d81462,True,,
251,myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale-in-new-construction/Argishti+St/Center/Yerevan/142124,True,,
252,bars,https://bars.am/en/properties/standard/apartment/53896,True,,
253,myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Abovyan+St/Center/Yerevan/142117,True,,
254,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-rent-in-downtown-yerevan-d109414,True,,
255,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Gyulbenkyan+St/Arabkir/Yerevan/142112,True,,
256,bars,https://bars.am/en/properties/standard/apartment/1-1-441,True,,
